time,415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
2540039,141,138,159,311,412,923,3044,3020,4500,525,0,0,0.00,0
2626953,143,139,160,313,415,928,3062,3053,4500,527,0,0,0.00,0
2714844,140,135,157,311,418,932,3060,3030,4500,531,0,0,0.00,0
2806641,142,139,160,315,424,940,3069,3035,4500,543,0,0,0.00,0
2894532,143,139,161,318,418,936,3060,3027,4500,525,0,0,0.00,0
2982422,136,133,154,307,408,911,3016,2997,4500,522,0,0,0.00,0
3069336,138,135,155,303,407,910,3016,3001,4500,567,0,0,0.00,0
3157227,140,136,155,305,410,910,3025,3027,4500,536,0,0,0.00,0
3245117,141,137,157,306,402,900,2998,2988,4500,514,0,0,0.00,0
3333008,136,132,152,300,404,903,3003,2993,4500,521,0,0,0.00,0
3420899,138,135,155,303,409,908,3010,2997,4500,529,0,0,0.00,0
3508789,139,136,156,305,412,911,3029,3031,4500,576,0,0,0.00,0
3601563,137,133,154,305,410,914,3026,3008,4500,527,0,0,0.00,0
3689453,139,134,156,307,416,920,3037,3032,4500,574,0,0,0.00,0
3773438,143,139,159,311,415,920,3046,3043,4500,554,0,0,0.00,0
3861328,142,138,159,312,416,926,3045,3022,4500,524,0,0,0.00,0
3948242,138,133,154,308,410,910,3017,3020,4500,564,0,0,0.00,0
4030274,137,134,154,301,402,894,2983,2982,4500,520,0,0,0.00,0
4118164,136,132,152,299,402,895,2998,3010,4500,563,0,0,0.00,0
4206055,139,135,155,301,401,891,2978,2976,4500,525,0,0,0.00,0
4292969,136,133,153,298,398,886,2978,2998,4500,518,0,0,0.00,0
4380860,136,133,153,297,399,889,2973,2977,4500,515,0,0,0.00,0
4468750,137,132,152,298,403,895,2995,3010,4500,561,0,0,0.00,0
4550782,138,134,154,301,405,899,2990,2987,4500,528,0,0,0.00,0
4638672,137,134,154,301,408,900,3005,3016,4500,570,0,0,0.00,0
4727539,140,137,157,305,407,902,3011,3016,4500,521,0,0,0.00,0
4815430,139,135,155,304,408,906,3008,2997,4500,520,0,0,0.00,0
4903321,137,134,155,305,410,912,3018,3002,4500,529,0,0,0.00,0
4995117,141,138,158,308,403,897,2982,2979,4500,512,0,0,0.00,0
5083008,135,130,151,295,397,881,2954,2959,4500,510,0,0,0.00,0
5170899,135,131,152,295,395,879,2950,2961,4500,514,0,0,0.00,0
5258789,135,133,153,295,397,881,2959,2984,4500,560,0,0,0.00,0
5346680,139,134,154,296,391,870,2941,2964,4500,510,0,0,0.00,0
5435547,134,130,150,292,395,877,2941,2955,4500,514,0,0,0.00,0
5524414,136,132,152,296,398,882,2955,2962,4500,522,0,0,0.00,0
5613282,138,135,154,299,394,881,2955,2961,4500,508,0,0,0.00,0
5705078,138,134,153,299,398,888,2966,2968,4500,522,0,0,0.00,0
5787110,137,134,154,300,404,893,2976,2976,4500,523,0,0,0.00,0
5875000,138,135,154,302,407,900,2987,2981,4500,528,0,0,0.00,0
5962891,141,136,157,305,406,900,2990,2984,4500,514,0,0,0.00,0
6051758,135,131,152,302,405,894,2974,2973,4500,518,0,0,0.00,0
6139649,135,132,152,296,397,876,2935,2947,4500,557,0,0,0.00,0
6227539,137,134,154,295,394,870,2938,2971,4500,522,0,0,0.00,0
6315430,135,132,151,294,392,867,2919,2935,4500,506,0,0,0.00,0
6407227,135,131,150,292,394,867,2929,2962,4500,517,0,0,0.00,0
