Pulse Ox data file Pulse000.csv code file /Users/g-gollin/SuperWoodchuckie2/_medicine/pulse_oximeter_2024_code/run_pulse_oximeter_2024_v5/run_pulse_oximeter_2024_v5.ino
Code date/time of last compilation was Feb 15 2024 22:07:59  DS3231 RTC date and time are 2024/2/16 (Friday)   4:08:18. temperature: 23.00*C or 73.40*F
N,t (ms),NIR I,white I,pulse ox light I,white light I,pulse ox 415,pulse ox 445,pulse ox 480,pulse ox 515,pulse ox clear0,pulse ox NIR0,pulse ox 555,pulse ox 590,pulse ox 630,pulse ox 680,pulse ox clear,pulse ox NIR,skin color 415,skin color 445,skin color 480,skin color 515,skin color clear0,skin color NIR0,skin color 555,skin color 590,skin color 630,skin color 680,skin color clear,skin color NIR,magic date
53,2329,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,172,351,0,0,0,0,0,0,2,5,35,64,60,3,9188
54,2367,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,74,108,174,354,0,0,0,0,0,0,2,5,35,64,60,3,9188
55,2404,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,108,175,356,0,0,0,0,0,0,2,5,35,64,60,3,9188
56,2446,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,109,176,356,0,0,0,0,0,0,2,5,35,64,60,3,9188
57,2483,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,174,360,0,0,0,0,0,0,2,5,35,64,60,3,9188
58,2520,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,76,110,177,358,0,0,0,0,0,0,2,5,35,64,60,3,9188
59,2558,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,106,173,359,0,0,0,0,0,0,2,5,35,64,60,3,9188
60,2595,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,76,111,179,363,0,0,0,0,0,0,2,5,35,64,60,3,9188
61,2632,9.749,-0.430,0,0,0,0,0,0,0,0,5,17,73,107,175,362,0,0,0,0,0,0,2,5,35,64,60,3,9188
62,2674,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,72,105,171,357,0,0,0,0,0,0,2,5,35,64,60,3,9188
63,2711,9.749,-0.430,0,0,0,0,0,0,0,0,5,17,74,109,172,343,0,0,0,0,0,0,2,5,35,64,60,3,9188
64,2748,9.749,-0.430,0,0,0,0,0,0,0,0,5,15,68,101,163,334,0,0,0,0,0,0,2,5,35,64,60,3,9188
65,2786,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,73,107,169,333,0,0,0,0,0,0,2,5,35,64,60,3,9188
66,2823,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,69,101,163,335,0,0,0,0,0,0,2,5,35,64,60,3,9188
67,2860,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,73,108,170,335,0,0,0,0,0,0,2,5,35,64,60,3,9188
68,2902,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,73,107,170,338,0,0,0,0,0,0,2,5,35,64,60,3,9188
69,2939,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,70,103,165,338,0,0,0,0,0,0,2,5,35,64,60,3,9188
70,2976,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,73,108,170,338,0,0,0,0,0,0,2,5,35,64,60,3,9188
71,3014,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,70,103,166,338,0,0,0,0,0,0,2,5,35,64,60,3,9188
72,3051,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,73,107,170,340,0,0,0,0,0,0,2,5,35,64,60,3,9188
73,3092,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,73,106,170,344,0,0,0,0,0,0,2,5,35,64,60,3,9188
74,3130,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,72,105,168,345,0,0,0,0,0,0,2,5,35,64,60,3,9188
75,3167,9.749,-0.430,0,0,0,0,0,0,0,0,5,17,73,107,171,344,0,0,0,0,0,0,2,5,35,64,60,3,9188
76,3358,9.749,-0.430,0,0,0,0,0,0,0,0,7,17,75,110,176,352,0,0,0,0,0,0,2,5,35,64,60,3,9188
77,3395,9.749,-0.430,0,0,0,0,0,0,0,0,7,17,75,110,175,356,0,0,0,0,0,0,2,5,35,64,60,3,9188
78,3432,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,70,102,166,344,0,0,0,0,0,0,2,5,35,64,60,3,9188
79,3474,9.749,-0.430,0,0,0,0,0,0,0,0,5,15,68,100,161,330,0,0,0,0,0,0,2,5,35,64,60,3,9188
80,3511,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,72,105,166,327,0,0,0,0,0,0,2,5,35,64,60,3,9188
81,3549,9.749,-0.430,0,0,0,0,0,0,0,0,5,15,67,100,159,326,0,0,0,0,0,0,2,5,35,64,60,3,9188
82,3586,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,72,107,167,326,0,0,0,0,0,0,2,5,35,64,60,3,9188
83,3623,9.749,-0.430,0,0,0,0,0,0,0,0,5,15,68,101,161,330,0,0,0,0,0,0,2,5,35,64,60,3,9188
84,3661,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,72,107,168,333,0,0,0,0,0,0,2,5,35,64,60,3,9188
85,3702,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,73,106,168,333,0,0,0,0,0,0,2,5,35,64,60,3,9188
86,3739,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,69,102,163,331,0,0,0,0,0,0,2,5,35,64,60,3,9188
87,3776,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,72,106,167,332,0,0,0,0,0,0,2,5,35,64,60,3,9188
88,3814,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,70,103,164,334,0,0,0,0,0,0,2,5,35,64,60,3,9188
89,3851,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,72,107,168,336,0,0,0,0,0,0,2,5,35,64,60,3,9188
90,3892,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,71,105,167,334,0,0,0,0,0,0,2,5,35,64,60,3,9188
91,3930,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,72,105,167,336,0,0,0,0,0,0,2,5,35,64,60,3,9188
92,3967,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,71,105,167,338,0,0,0,0,0,0,2,5,35,64,60,3,9188
93,4004,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,72,106,169,338,0,0,0,0,0,0,2,5,35,64,60,3,9188
94,4042,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,71,105,168,340,0,0,0,0,0,0,2,5,35,64,60,3,9188
95,4079,9.749,-0.430,0,0,0,0,0,0,0,0,5,17,74,108,172,345,0,0,0,0,0,0,2,5,35,64,60,3,9188
96,4120,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,76,111,177,355,0,0,0,0,0,0,2,5,35,64,60,3,9188
97,4158,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,72,104,170,352,0,0,0,0,0,0,2,5,35,64,60,3,9188
98,4195,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,73,108,171,338,0,0,0,0,0,0,2,5,35,64,60,3,9188
99,4232,9.749,-0.430,0,0,0,0,0,0,0,0,5,15,68,100,161,330,0,0,0,0,0,0,2,5,35,64,60,3,9188
100,4270,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,72,105,166,326,0,0,0,0,0,0,2,5,35,64,60,3,9188
101,4462,9.749,-0.430,0,0,0,0,0,0,0,0,5,15,68,100,162,331,0,0,0,0,0,0,2,5,35,64,60,3,9188
102,4501,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,70,104,166,336,0,0,0,0,0,0,2,5,35,64,60,3,9188
103,4539,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,71,105,168,343,0,0,0,0,0,0,2,5,35,64,60,3,9188
104,4576,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,71,105,170,350,0,0,0,0,0,0,2,5,35,64,60,3,9188
105,4613,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,174,360,0,0,0,0,0,0,2,5,35,64,60,3,9188
